trading_signals_20251006_004721
sid,symbol,sector,industry,market_cap_cr,pe_ratio,beta,current_price,price_5d_ago,price_20d_ago,return_5d,return_20d,avg_volume,current_delivery,delivery_5d_avg,delivery_20d_avg,momentum_score,delivery_score,valuation_score,volatility_score,total_score,signal,confidence
1522,RELIANCE,Energy,Oil & Gas Refining & Marketing,1845017.29,22.63,0.22,1363.4,1377.6,1372.6,-1.03,-0.67,9739636.0,63.27,59.14,59.14,0,15,15,15,45,HOLD,MEDIUM
747,HDFCBANK,Financial Services,Banks - Regional,1482824.14,22.08,0.58,965.15,945.05,954.45,2.13,1.12,18923597.0,67.59,66.82,66.82,30,15,15,15,75,STRONG BUY,HIGH
279,BHARTIARTL,Communication Services,Telecom Services,1136917.48,32.15,0.11,1896.7,1916.6,1883.9,-1.04,0.68,4611247.0,68.82,69.61,69.61,15,15,10,15,55,BUY,MEDIUM
1862,TCS,Technology,Information Technology Services,1049932.75,21.32,0.31,2901.9,2899.1,3097.5,0.1,-6.31,2623111.0,72.65,60.73,60.73,15,20,15,15,65,BUY,MEDIUM
806,ICICIBANK,Financial Services,Banks - Regional,975258.73,18.55,0.41,1365.2,1359.6,1397.0,0.41,-2.28,11594105.0,64.49,66.69,66.69,15,15,15,15,60,BUY,MEDIUM
1635,SBIN,Financial Services,Banks - Regional,800571.47,9.75,0.47,867.3,856.95,812.15,1.21,6.79,9127058.0,41.23,42.28,42.28,30,0,15,15,60,BUY,MEDIUM
226,BAJFINANCE,Financial Services,Credit Services,614871.18,35.21,0.5,989.75,985.1,896.3,0.47,10.43,8264234.0,62.86,60.07,60.07,35,15,0,15,65,BUY,MEDIUM
868,INFY,Technology,Information Technology Services,599659.54,21.19,0.34,1446.6,1448.9,1479.1,-0.16,-2.2,7848787.0,64.93,58.75,58.75,0,15,15,15,45,HOLD,MEDIUM
775,HINDUNILVR,Consumer Defensive,Household & Personal Products,597947.48,55.25,0.33,2544.9,2511.8,2664.7,1.32,-4.5,1366421.0,74.88,70.34,70.34,15,20,0,15,50,HOLD,LOW
1073,LICI,Financial Services,Insurance - Life,572570.42,11.75,0.54,905.25,872.45,870.7,3.76,3.97,1074998.0,55.13,60.74,60.74,35,0,15,15,65,BUY,MEDIUM
1089,LT,Industrials,Engineering & Construction,513435.45,32.36,0.46,3733.1,3729.5,3600.8,0.1,3.67,1769959.0,64.38,61.96,61.96,30,15,10,15,70,STRONG BUY,MEDIUM
899,ITC,Consumer Defensive,Tobacco,506471.85,25.38,0.02,404.3,405.1,411.75,-0.2,-1.81,13508648.0,78.88,74.62,74.62,0,20,10,15,45,HOLD,MEDIUM
